Variable,Meaning of Variable,Description
CurrentCreditLines,current balance is the amount currently owing on your card account,Number of current credit lines at the time the credit profile was pulled.
OpenCreditLines,"An open credit is a financial arrangement between a lender and a borrower that allows the latter to access credit repeatedly up to a specific maximum limit. Once the borrower starts making repayments to the account, the money becomes available for withdrawal again since it is a revolving fund.",Number of open credit lines at the time the credit profile was pulled.
TotalCreditLinespast7years,,Number of credit lines in the past seven years at the time the credit profile was pulled.
OpenRevolvingAccounts,,Number of open revolving accounts at the time the credit profile was pulled.
OpenRevolvingMonthlyPayment,,Monthly payment on revolving accounts at the time the credit profile was pulled.
InquiriesLast6Months,an inquiry is a review of a consumer's credit file,Number of inquiries in the past six months at the time the credit profile was pulled.
TotalInquiries,,Total number of inquiries at the time the credit profile was pulled.
CurrentDelinquencies,,Number of accounts delinquent at the time the credit profile was pulled.
AmountDelinquent,,Dollars delinquent at the time the credit profile was pulled.
DelinquenciesLast7Years,,Number of delinquencies in the past 7 years at the time the credit profile was pulled.
PublicRecordsLast10Years,,Number of public records in the past 10 years at the time the credit profile was pulled.
PublicRecordsLast12Months,,Number of public records in the past 12 months at the time the credit profile was pulled.
RevolvingCreditBalance,,Dollars of revolving credit at the time the credit profile was pulled.
BankcardUtilization,,The percentage of available revolving credit that is utilized at the time the credit profile was pulled.
AvailableBankcardCredit,,The total available credit via bank card at the time the credit profile was pulled.
TotalTrades,Tradelines are credit accounts listed on a borrower's credit report,Number of trade lines ever opened at the time the credit profile was pulled.
TradesNeverDelinquent,,Number of trades that have never been delinquent at the time the credit profile was pulled.
TradesOpenedLast6Months,,Number of trades opened in the last 6 months at the time the credit profile was pulled.
DebtToIncomeRatio,debt-to-income ratio (DTI) is all your monthly debt payments divided by your gross monthly income.,The debt to income ratio of the borrower at the time the credit profile was pulled. This value is Null if the debt to income ratio is not available. This value is capped at 10.01 (any debt to income ratio larger than 1000% will be returned as 1001%).
IncomeRange,,The income range of the borrower at the time the listing was created.
IncomeVerifiable,,The borrower indicated they have the required documentation to support their income.
StatedMonthlyIncome,,The monthly income the borrower stated at the time the listing was created.
LoanKey,,Unique key for each loan. This is the same key that is used in the API. 
TotalProsperLoans,,Number of Prosper loans the borrower at the time they created this listing. This value will be null if the borrower had no prior loans. 
TotalProsperPaymentsBilled,,Number of on time payments the borrower made on Prosper loans at the time they created this listing. This value will be null if the borrower had no prior loans.
OnTimeProsperPayments,,Number of on time payments the borrower had made on Prosper loans at the time they created this listing. This value will be null if the borrower has no prior loans.
ProsperPaymentsLessThanOneMonthLate,,Number of payments the borrower made on Prosper loans that were less than one month late at the time they created this listing. This value will be null if the borrower had no prior loans. 
ProsperPaymentsOneMonthPlusLate,,Number of payments the borrower made on Prosper loans that were greater than one month late at the time they created this listing. This value will be null if the borrower had no prior loans.
ProsperPrincipalBorrowed,Prinicipal is the original amount borrowed ,Total principal borrowed on Prosper loans at the time the listing was created. This value will be null if the borrower had no prior loans.
ProsperPrincipalOutstanding,,Principal outstanding on Prosper loans at the time the listing was created. This value will be null if the borrower had no prior loans.
ScorexChangeAtTimeOfListing,,Borrower's credit score change at the time the credit profile was pulled. This will be the change relative to the borrower's last Prosper loan. This value will be null if the borrower had no prior loans.
LoanCurrentDaysDelinquent,,The number of days delinquent. 
LoanFirstDefaultedCycleNumber,,The cycle the loan was charged off. If the loan has not charged off the value will be null. 
LoanMonthsSinceOrigination,,Number of months since the loan originated.
LoanNumber,,Unique numeric value associated with the loan.
LoanOriginalAmount,,The origination amount of the loan.
LoanOriginationDate,,The date the loan was originated.
LoanOriginationQuarter,,The quarter in which the loan was originated.
MemberKey,,The unique key that is associated with the borrower. This is the same identifier that is used in the API member object. 
MonthlyLoanPayment,,The scheduled monthly loan payment.
LP_CustomerPayments,"a gross loan payment is the total sum of a loan repayable to the lender at the end of the term, it typically includes net loan amount, arrangement fees, interest and any other charges","Pre charge-off cumulative gross payments made by the borrower on the loan. If the loan has charged off, this value will exclude any recoveries."
LP_CustomerPrincipalPayments,"A principal payment is a payment toward the original amount of a loan that is owed. In other words, a principal payment is a payment made on a loan that reduces the remaining loan amount due, rather than applying to the payment of interest charged on the loan","Pre charge-off cumulative principal payments made by the borrower on the loan. If the loan has charged off, this value will exclude any recoveries."
LP_InterestandFees,,"Pre charge-off cumulative interest and fees paid by the borrower. If the loan has charged off, this value will exclude any recoveries."
LP_ServiceFees,the amount of money investors pay to the loan company for its costs such as managing the investor's account,Cumulative service fees paid by the investors who have invested in the loan. 
LP_CollectionFees,,Cumulative collection fees paid by the investors who have invested in the loan.
LP_GrossPrincipalLoss,,The gross charged off amount of the loan.
LP_NetPrincipalLoss,,The principal that remains uncollected after any recoveries.
LP_NonPrincipalRecoverypayments,,"The interest and fee component of any recovery payments. The current payment policy applies payments in the following order: Fees, interest, principal."
PercentFunded,,Percent the listing was funded.
Recommendations,"Prosper allows borrower members to create a network of Prosper friends, and obtain bids and recommendations from one or more of the borrower member's designated Prosper friends",Number of recommendations the borrower had at the time the listing was created.
InvestmentFromFriendsCount,,Number of friends that made an investment in the loan.
InvestmentFromFriendsAmount,,Dollar amount of investments that were made by friends.
Investors,,The number of investors that funded the loan.
